Category*,End Date*,Purpose*,Start Date*,Start*,Stop*,Miles*
Business,01-02-2016 11:15:00,Customer Visit,01-02-2016 10:35:00,Cary,Chapel Hill,19.4
Business,01-02-2016 12:43:00,Customer Visit,01-02-2016 12:10:00,Chapel Hill,Cary,23.3
Business,01-02-2016 13:07:00,Meal/Entertain,01-02-2016 12:56:00,Northwoods,Whitebridge,3.9
Business,02-02-2016 13:23:00,Meeting,02-02-2016 13:04:00,Whitebridge,Williamsburg Manor,8.3
Business,02-02-2016 14:06:00,Errand/Supplies,02-02-2016 13:51:00,Cary,Cary,6
Business,02-02-2016 14:42:00,Errand/Supplies,02-02-2016 14:38:00,Cary,Cary,1.6
Business,04-02-2016 09:01:00,Errand/Supplies,04-02-2016 08:40:00,Cary,Morrisville,5.2
Business,04-02-2016 10:09:00,Meal/Entertain,04-02-2016 09:37:00,Morrisville,Cary,9.7
Business,04-02-2016 10:32:00,Meal/Entertain,04-02-2016 10:26:00,Cary,Cary,1.6
Business,04-02-2016 16:03:00,Meal/Entertain,04-02-2016 15:59:00,Cary,Cary,1.1
Business,04-02-2016 16:39:00,Meal/Entertain,04-02-2016 16:35:00,Cary,Cary,1.6
Business,04-02-2016 18:31:00,Meeting,04-02-2016 18:04:00,Whitebridge,Macgregor Downs,9
Business,04-02-2016 20:55:00,Meeting,04-02-2016 20:36:00,Cary,Cary,7.7
Business,05-02-2016 12:07:00,Meeting,05-02-2016 11:47:00,Cary,Durham,10.4
Business,05-02-2016 13:41:00,Meeting,05-02-2016 13:22:00,Durham,Cary,10.4
Business,06-02-2016 16:53:00,Between Offices,06-02-2016 16:20:00,Cary,Raleigh,11.4
Business,06-02-2016 19:21:00,Errand/Supplies,06-02-2016 18:57:00,Raleigh,Cary,9
Business,06-02-2016 19:37:00,Meal/Entertain,06-02-2016 19:28:00,Edgehill Farms,Whitebridge,3.2
Business,07-02-2016 17:01:00,Errand/Supplies,07-02-2016 16:49:00,Cary,Apex,5.6
Business,07-02-2016 18:17:00,Customer Visit,07-02-2016 18:03:00,Apex,Cary,5.7
Business,07-02-2016 18:53:00,Temporary Site,07-02-2016 18:39:00,Cary,Morrisville,6.1
Business,07-02-2016 20:40:00,Meeting,07-02-2016 20:22:00,Morrisville,Cary,6.1
Business,08-02-2016 13:08:00,Meal/Entertain,08-02-2016 12:57:00,Whitebridge,Edgehill Farms,4.3
Business,08-02-2016 14:10:00,Meal/Entertain,08-02-2016 14:00:00,Edgehill Farms,Whitebridge,2.7
Personal,09-02-2016 11:07:00,,09-02-2016 10:54:00,Whitebridge,Northwoods,5.3
Personal,09-02-2016 11:50:00,,09-02-2016 11:43:00,Northwoods,Tanglewood,3
Personal,09-02-2016 13:52:00,,09-02-2016 13:36:00,Tanglewood,Preston,5.1
Personal,09-02-2016 14:02:00,,09-02-2016 13:58:00,Preston,Whitebridge,1.5
Business,09-02-2016 19:11:00,,09-02-2016 18:55:00,Cary,Morrisville,6.1
Business,09-02-2016 20:40:00,Meal/Entertain,09-02-2016 20:24:00,Morrisville,Cary,6.1
Business,11-02-2016 17:10:00,Meal/Entertain,11-02-2016 16:28:00,Cary,Raleigh,17.3
Business,11-02-2016 18:10:00,Meal/Entertain,11-02-2016 17:49:00,Eastgate,Walnut Terrace,5.7
Business,11-02-2016 18:46:00,Temporary Site,11-02-2016 18:24:00,Raleigh,Morrisville,13.5
Business,11-02-2016 20:51:00,Temporary Site,11-02-2016 20:36:00,Morrisville,Cary,6.1
Business,12-02-2016 08:42:00,Temporary Site,12-02-2016 08:21:00,Cary,Durham,8.5
Business,12-02-2016 10:52:00,Temporary Site,12-02-2016 10:45:00,Durham,Morrisville,2.6
Business,12-02-2016 11:35:00,Customer Visit,12-02-2016 11:14:00,Morrisville,Raleigh,17
Business,12-02-2016 13:36:00,Meeting,12-02-2016 13:02:00,Raleigh,Cary,18
Business,12-02-2016 15:06:00,Meeting,12-02-2016 14:49:00,Cary,Morrisville,8.4
Business,12-02-2016 16:06:00,Customer Visit,12-02-2016 15:33:00,Morrisville,Cary,11.5
Business,13-02-2016 14:41:00,Meeting,13-02-2016 14:21:00,Cary,Morrisville,8.9
Personal,14-02-2016 00:01:00,,13-02-2016 23:45:00,East Elmhurst,Jackson Heights,2.7
Personal,14-02-2016 01:00:00,,14-02-2016 00:50:00,Jackson Heights,East Elmhurst,1.8
Business,14-02-2016 14:40:00,Meeting,14-02-2016 14:07:00,East Elmhurst,New York,8.1
Business,14-02-2016 15:03:00,Meeting,14-02-2016 14:46:00,Midtown,Midtown West,2
Business,14-02-2016 17:02:00,Meeting,14-02-2016 16:35:00,New York,Long Island City,13
Business,14-02-2016 17:29:00,Meeting,14-02-2016 17:06:00,Long Island City,Jamaica,13.9
Business,16-02-2016 04:13:00,Customer Visit,16-02-2016 03:21:00,Katunayaka,Unknown Location,43.7
Business,16-02-2016 09:34:00,,16-02-2016 08:29:00,Unknown Location,Colombo,14.1
Business,16-02-2016 10:41:00,,16-02-2016 10:31:00,Colombo,Colombo,2.6
Business,16-02-2016 12:02:00,,16-02-2016 11:32:00,Colombo,Colombo,4.5
Business,16-02-2016 12:42:00,,16-02-2016 12:39:00,Colombo,Colombo,1.7
Business,16-02-2016 13:55:00,Temporary Site,16-02-2016 13:43:00,Colombo,Colombo,1.8
Business,16-02-2016 17:10:00,,16-02-2016 16:34:00,Colombo,Colombo,6
Business,16-02-2016 17:26:00,Meal/Entertain,16-02-2016 17:17:00,Colombo,Nugegoda,1.1
Business,16-02-2016 17:44:00,Errand/Supplies,16-02-2016 17:40:00,Nugegoda,Unknown Location,3.6
Business,17-02-2016 14:04:00,Temporary Site,17-02-2016 13:18:00,Unknown Location,Colombo,14.7
Business,17-02-2016 15:22:00,Meal/Entertain,17-02-2016 15:17:00,Colombo,Colombo,1.7
Business,17-02-2016 16:17:00,Temporary Site,17-02-2016 15:33:00,Colombo,Katunayaka,21.4
Business,17-02-2016 16:43:00,Errand/Supplies,17-02-2016 16:38:00,Katunayaka,Katunayaka,0.5
Business,18-02-2016 08:27:00,Temporary Site,18-02-2016 08:19:00,Unknown Location,Unknown Location,23.5
Business,18-02-2016 14:45:00,Temporary Site,18-02-2016 14:03:00,Unknown Location,Islamabad,12.7
Business,18-02-2016 15:31:00,Temporary Site,18-02-2016 15:16:00,Islamabad,Unknown Location,6
Business,18-02-2016 18:58:00,Customer Visit,18-02-2016 18:44:00,Unknown Location,Islamabad,5.2
Business,18-02-2016 20:08:00,Meeting,18-02-2016 19:27:00,Islamabad,Unknown Location,10
Business,19-02-2016 09:14:00,Meeting,19-02-2016 09:02:00,Unknown Location,Unknown Location,18.3
Business,19-02-2016 09:51:00,Meeting,19-02-2016 09:21:00,Unknown Location,Unknown Location,11.2
Business,19-02-2016 10:48:00,Meeting,19-02-2016 10:21:00,Unknown Location,Islamabad,7.6
Personal,19-02-2016 11:26:00,,19-02-2016 11:20:00,Islamabad,Islamabad,1.5
Personal,19-02-2016 11:50:00,,19-02-2016 11:45:00,Islamabad,Islamabad,1
Business,19-02-2016 12:27:00,Temporary Site,19-02-2016 12:09:00,Islamabad,Unknown Location,7.3
Business,19-02-2016 16:45:00,,19-02-2016 16:26:00,Unknown Location,Islamabad,3.5
Business,19-02-2016 17:20:00,,19-02-2016 17:09:00,Islamabad,Islamabad,4.2
Personal,19-02-2016 20:30:00,,19-02-2016 20:08:00,Islamabad,Unknown Location,13.6
Personal,19-02-2016 20:51:00,,19-02-2016 20:34:00,Unknown Location,Unknown Location,2.5
Personal,20-02-2016 08:32:00,,20-02-2016 07:59:00,Unknown Location,Islamabad,14.4
Personal,20-02-2016 10:56:00,,20-02-2016 10:48:00,Islamabad,Islamabad,3
Personal,20-02-2016 11:53:00,,20-02-2016 11:45:00,Islamabad,Islamabad,1.5
Business,20-02-2016 13:17:00,,20-02-2016 12:41:00,Islamabad,R?walpindi,18.4
Business,20-02-2016 15:54:00,Meeting,20-02-2016 14:50:00,R?walpindi,R?walpindi,23.1
Personal,20-02-2016 17:54:00,,20-02-2016 16:59:00,R?walpindi,Unknown Location,16.5
Business,20-02-2016 18:03:00,Errand/Supplies,20-02-2016 18:00:00,Unknown Location,Unknown Location,3.2
Business,20-02-2016 19:49:00,Errand/Supplies,20-02-2016 19:28:00,Unknown Location,Unknown Location,7.7
Business,21-02-2016 09:46:00,,21-02-2016 09:07:00,Unknown Location,Islamabad,14.5
Business,21-02-2016 11:43:00,Errand/Supplies,21-02-2016 11:39:00,Unknown Location,Islamabad,2.4
Business,21-02-2016 12:01:00,Errand/Supplies,21-02-2016 11:47:00,Islamabad,Islamabad,4.6
Business,21-02-2016 12:35:00,Meal/Entertain,21-02-2016 12:13:00,Islamabad,Unknown Location,8.8
Business,21-02-2016 13:12:00,Temporary Site,21-02-2016 12:51:00,Unknown Location,Unknown Location,8.3
Business,21-02-2016 14:30:00,Temporary Site,21-02-2016 13:33:00,Unknown Location,Unknown Location,22.7
Business,21-02-2016 15:03:00,Temporary Site,21-02-2016 14:36:00,Unknown Location,Islamabad,13
Business,21-02-2016 15:31:00,Temporary Site,21-02-2016 15:14:00,Islamabad,Noorpur Shahan,8.1
Business,21-02-2016 15:41:00,Meal/Entertain,21-02-2016 15:36:00,Noorpur Shahan,Unknown Location,2.2
Business,21-02-2016 16:32:00,,21-02-2016 16:04:00,Unknown Location,Unknown Location,9.7
Business,21-02-2016 23:52:00,Meeting,21-02-2016 23:15:00,Unknown Location,R?walpindi,20
Business,22-02-2016 22:09:00,Customer Visit,22-02-2016 21:54:00,Morrisville,Cary,8.1
Business,24-02-2016 14:35:00,,24-02-2016 14:30:00,Whitebridge,Preston,1.5
Business,24-02-2016 15:25:00,Errand/Supplies,24-02-2016 15:19:00,Preston,Whitebridge,1.7
Business,25-02-2016 16:35:00,Errand/Supplies,25-02-2016 16:27:00,Whitebridge,Heritage Pines,3.1
Business,25-02-2016 17:02:00,Errand/Supplies,25-02-2016 16:47:00,Heritage Pines,Whitebridge,3.2
Business,25-02-2016 17:36:00,Meal/Entertain,25-02-2016 17:16:00,Whitebridge,Tanglewood,6
Business,25-02-2016 18:39:00,Meal/Entertain,25-02-2016 18:22:00,Tanglewood,Whitebridge,5.8
Business,26-02-2016 09:29:00,,26-02-2016 09:06:00,Whitebridge,Westpark Place,6.3
Personal,26-02-2016 11:11:00,,26-02-2016 11:05:00,Westpark Place,Whitebridge,1.7
Business,26-02-2016 11:59:00,Meeting,26-02-2016 11:35:00,Cary,Durham,10.6
Business,26-02-2016 13:24:00,Meeting,26-02-2016 13:01:00,Durham,Cary,9.9
Personal,26-02-2016 14:46:00,,26-02-2016 14:38:00,Whitebridge,Westpark Place,1.9
